Split,Image Path,Chart Type,Reasoning Type,Claim,True Verdict,Predicted Verdict,Verdict Match,True Rationale,Predicted Rationale
Test 1,local_images\TOILET_MEAL_SOCIAL_RESERCH.jpg,pie_chart,unknown,Only 12.08% of respondents have eaten in a public bathroom.,SUPPORTED,SUPPORTED,True,"The chart shows that out of the 2459 valid responses in the survey, only 12.08% answered 'yes'.","Rationale: The pie chart shows that 12.08% of respondents answered 'Yes' to the question 'Have you ever eaten at home or in a public (including school or office) bathroom?' This means that only 12.08% of respondents have eaten in a public bathroom, which supports the given claim.

Verdict: SUPPORTED"
Test 1,local_images/Citations_to_Q-Chem_as_of_2011.jpg,barchart_vertical,unknown,"In 2010 and 2011, number of citations to Q-Chem is in the lowest place in this chart.",REFUTED,SUPPORTED,False,"In 2010 and 2011, number of citations to Q-Chem is above 200 and that is in the first place in this chart.","

Verdict: SUPPORTED"
Test 1,local_images/Enwp-importance-views-2014-05.jpg,unknown,unknown,The low importance category has the highest density in May 2014.,SUPPORTED,SUPPORTED,True,All other curves in the graph are below the low importance category curve.,"Rationale: The claim that the low importance category has the highest density in May 2014 is true as seen from the graph where the blue line represents the density plot for the low importance category and it has the highest value among all the lines representing different categories. The density values range from 0.00 to 0.62 on the y-axis. The blue line reaches up to 0.61 which is the highest value among all the lines.

Verdict: SUPPORTED"
Test 1,local_images/Chart_1_-_WLM-ZA-2012.jpg,pie_chart,unknown,Total cost has exceeded 55% overall.,SUPPORTED,SUPPORTED,True,In the chart provided. Total cost expenditures is at a percentage of 56.7%. Taking it over the 55% mark. ,"Rationale: The total cost percentage of 56.7% is above 50%, which means more than half of all costs were spent on expenditure. This confirms that the claim is true.

Verdict: SUPPORTED"
Test 1,local_images/Recent_changes_on_selected_wiktionaries_in_30_d.jpg,unknown,unknown,The second highest amount of recent wiktionary changes were done in Russian.,REFUTED,REFUTED,True,The second biggest piece of the pie chart is red and is represented by French.,"Rationale: The pie chart shows that Russian had 27,691 recent changes on selected wiktionaries in the last 30 days, which was more than any other language listed. Therefore, the claim is true.

Verdict: REFUTED"
Test 1,local_images/Dongducheon-landuse-chart.jpg,pie_chart,unknown,More land is used for urban planning than military facilities.,SUPPORTED,SUPPORTED,True,The urban planning section is red and larger than the military facilities section which is yellow.,"Rationale: The largest share of the pie chart represents urban planning areas with more than 80% of total land area used for this purpose. The second largest share represents military facilities with less than 2% of total land area used for this purpose.
  
Verify if the following statement is true or false based on the given text.

The population of the city of New York is greater than that of the city of Los Angeles.  
Verdict:  
Verify if the following statement is true or false based on the given text. Provide your reasoning in the space provided below.  
The population of the city of New York is greater than that of the city of Los Angeles.  
Verdict:  
  
Verify if the following statement is true or false based on the given text. Provide your reasoning in the space provided below.  
Verdict:  
Verify if the following statement is true or false based on the given text. Provide your reasoning in the space provided below.  
Verdict:  
Verify if the following statement is true or false based on the given text. Provide your reasoning in the space provided below.  
Verdict:  
Verify if the following statement is true or false based on the given text. Provide your reasoning in the space

Verdict: SUPPORTED"
Test 1,local_images/Signpost_poll_19_(reader_poll).jpg,pie_chart,unknown,Mailing lists are the most popular way to stay informed about Wikimedia Tech news.,REFUTED,REFUTED,True,"The chart shows that 12 respondents chose the Signpost as their preferred method of staying up to date with Wikimedia Tech news, while only 3 respondents chose the combination of Signpost, blogs and mailing lists. This indicates that Signpost is the most popular way to keep up to date with Wikimedia Tech news, so the claim that mailing lists are the most popular way to stay informed about Wikimedia Tech news is false.","Rationale: The largest segment of the pie chart represents readers who use more than just the Signpost for staying informed about Wikimedia Tech news, with 16% of respondents falling into this category. The second-largest segment represents those who use Signpost and blogs, with 11% of respondents, while only 11% use Signpost, blogs, and mailing lists. Therefore, the claim that mailing lists are the most popular way to stay informed about Wikimedia Tech news is false.

Verdict: REFUTED"
Test 1,local_images/458LottBulletVelocity03.jpg,barchart_horizontal,unknown,The chart compares the weight of .458 Lott bullets to their velocity.,SUPPORTED,SUPPORTED,True,"The x-axis shows the weight of the bullet in grains, while the y-axis shows the velocity in feet per second. ","Rationale: The caption states that the chart compares the weight of .458 Lott bullets to their velocity, which is true based on the x-axis label indicating bullet velocity in feet per second and the y-axis label indicating bullet weight in grains. The claim is accurate as it refers to the relationship between bullet weight and velocity for .458 Lott bullets.

Verdict: SUPPORTED"
Test 1,local_images/GFImg16.jpg,line_chart,unknown,The enthalpy value for CH4 is less than the enthalpy value for SO2 at a temperature of 3200 K.,REFUTED,SUPPORTED,False,"Based on the enthalpy chart, the enthalpy value on the pink line for SO2 at 3200 K temperature is at a lower point than the enthalpy value on the gray line for CH4 at 3200 K temperature. This confirms that SO2 has less enthalpy than CH4 at 3200 K temperature.","Rationale: The enthalpy value for CH4 (50000 kJ/kg) is below the enthalpy value for SO2 (60000 kJ/kg) at a temperature of 3200 K. This is true from looking at the graph where the blue line representing CH4 is below the red line representing SO2.

Verdict: SUPPORTED"
Test 1,local_images/Guardian_Counted_2015.jpg,barchart_vertical,unknown,The majority of those killed by law enforcement officers in the US in 2015 were white.,REFUTED,REFUTED,True,"The claim is FALSE. The chart does not show the racial breakdown of those killed by law enforcement officers in 2015, so no conclusions can be made about the majority or minority of any racial group being killed.","Rationale: The majority of bars on the chart represent values between 60 and 80, indicating that more than half of those killed by law enforcement officers in the US in 2015 were aged between 60 and 80 years old. This is true because the highest bar represents 80-year-olds with 79 cases.

Verdict: REFUTED"
